2022-07-15 18:05:59,828 - utils - INFO - epoch: 5, step: 250, eta: 00:49:46, gen loss: 3.9512691497802734, adv_loss: 0, dis loss: 0
2022-07-15 18:08:29,874 - utils - INFO - epoch: 5, step: 300, eta: 00:47:30, gen loss: 3.9656429290771484, adv_loss: 0, dis loss: 0
2022-07-15 18:10:58,901 - utils - INFO - epoch: 5, step: 350, eta: 00:45:07, gen loss: 4.099652290344238, adv_loss: 0, dis loss: 0
2022-07-15 18:13:27,794 - utils - INFO - epoch: 5, step: 400, eta: 00:42:42, gen loss: 4.591514587402344, adv_loss: 0, dis loss: 0
2022-07-15 18:15:57,483 - utils - INFO - epoch: 5, step: 450, eta: 00:40:17, gen loss: 4.214590072631836, adv_loss: 0, dis loss: 0
2022-07-15 18:18:27,166 - utils - INFO - epoch: 5, step: 500, eta: 00:37:52, gen loss: 4.777772903442383, adv_loss: 0, dis loss: 0
2022-07-15 18:20:55,932 - utils - INFO - epoch: 5, step: 550, eta: 00:35:25, gen loss: 3.7959988117218018, adv_loss: 0, dis loss: 0
2022-07-15 18:23:25,526 - utils - INFO - epoch: 5, step: 600, eta: 00:32:58, gen loss: 4.055319786071777, adv_loss: 0, dis loss: 0
2022-07-15 18:25:54,957 - utils - INFO - epoch: 5, step: 650, eta: 00:30:31, gen loss: 4.2639055252075195, adv_loss: 0, dis loss: 0
2022-07-15 18:28:24,553 - utils - INFO - epoch: 5, step: 700, eta: 00:28:03, gen loss: 4.350064277648926, adv_loss: 0, dis loss: 0
2022-07-15 18:30:53,955 - utils - INFO - epoch: 5, step: 750, eta: 00:25:36, gen loss: 4.243259429931641, adv_loss: 0, dis loss: 0
2022-07-15 18:33:23,115 - utils - INFO - epoch: 5, step: 800, eta: 00:23:07, gen loss: 3.9340717792510986, adv_loss: 0, dis loss: 0
2022-07-15 18:35:53,502 - utils - INFO - epoch: 5, step: 850, eta: 00:20:40, gen loss: 3.8671529293060303, adv_loss: 0, dis loss: 0
2022-07-15 18:38:21,843 - utils - INFO - epoch: 5, step: 900, eta: 00:18:11, gen loss: 4.055100440979004, adv_loss: 0, dis loss: 0
2022-07-15 18:40:51,038 - utils - INFO - epoch: 5, step: 950, eta: 00:15:42, gen loss: 4.684184551239014, adv_loss: 0, dis loss: 0
2022-07-15 18:43:21,186 - utils - INFO - epoch: 5, step: 1000, eta: 00:13:14, gen loss: 3.758159875869751, adv_loss: 0, dis loss: 0
2022-07-15 18:45:51,498 - utils - INFO - epoch: 5, step: 1050, eta: 00:10:46, gen loss: 4.3653459548950195, adv_loss: 0, dis loss: 0
2022-07-15 18:48:21,526 - utils - INFO - epoch: 5, step: 1100, eta: 00:08:17, gen loss: 3.6732277870178223, adv_loss: 0, dis loss: 0
2022-07-15 18:50:50,865 - utils - INFO - epoch: 5, step: 1150, eta: 00:05:48, gen loss: 4.23922061920166, adv_loss: 0, dis loss: 0
2022-07-15 18:53:19,912 - utils - INFO - epoch: 5, step: 1200, eta: 00:03:19, gen loss: 3.7236814498901367, adv_loss: 0, dis loss: 0
2022-07-15 18:55:50,046 - utils - INFO - epoch: 5, step: 1250, eta: 00:00:50, gen loss: 4.1199164390563965, adv_loss: 0, dis loss: 0
2022-07-15 19:17:14,885 - utils - INFO - epoch: 5, loss: 4.826241970062256, mae: 19.832307885981386, ssim: 0.8957985518759509, psnr: 24.59659217310433
2022-07-15 19:17:19,494 - utils - INFO - epoch: 6, step: 0, eta: 01:00:17, gen loss: 4.894584655761719, adv_loss: 0, dis loss: 0
